Key,类型,建议设置,说明/作用
DisableSecurityPolicy,Boolean,False (NO),保持默认（禁用安全策略绕过）。
EnableVectorAcceleration,Boolean,True (YES),(部分新版 OpenCore 有此选项) 开启 AVX 加速提升字体绘制速度。
EnableVmx,Boolean,False (NO),除非需要对特定虚拟机嵌套虚拟化支持，否则保持关闭。
ForgeUefiSupport,Boolean,False (NO),针对老旧 1.x UEFI 平台，现代 C246 主板不需要。
IgnoreInvalidFlexRatio,Boolean,False (NO),之前已说明，Coffee Lake 现代平台保持关闭。
ReleaseUsbOwnership,Boolean,True (YES),服务器/品牌主板必备！ 强制 OpenCore 从主板 BIOS 手中接过 USB 控制权，防止开机卡死在 USB 初始化阶段。
ReloadOptionRoms,Boolean,False (NO),保持默认。
RequestBootVarRouting,Boolean,True (YES),核心！ 将 macOS 系统的 Startup Disk（启动磁盘设置）和 NVRAM 引导变量路由回 OpenCore，使“系统偏好设置”里的启动盘选择能正常生效。
ResizeGpuBars,Number,-1,核心！ 与之前的 ResizeAppleGpuBars 一致，设为 -1 禁用/不干涉 ReBAR 空间设置。
UnblockFsConnect,Boolean,False (NO),针对某些特定 HP/Dell 品牌机的系统解封，普通 C246 保持关闭。
