对比维度,续航增强版,Switch OLED 版,Switch Lite
定位形态,主机 / 掌机 / 桌面 三合一,主机 / 掌机 / 桌面 三合一 (旗舰掌机体验),纯掌机 (不可拆卸/不支持 TV)
屏幕尺寸与材质,6.2 英寸 LCD(720p 分辨率),7.0 英寸 OLED(720p 分辨率，窄边框、高对比度),5.5 英寸 LCD(720p 分辨率，像素密度最高)
机身重量,约 398g (含 Joy-Con),约 420g (含 Joy-Con，略重),约 275g (最轻巧便携)
核心 SoC 处理器,Tegra X1 (Mariko 芯片 16nm，续航版)(初代 V1 为 Erista 20nm),Tegra X1 (Mariko 芯片 16nm),Tegra X1 (Mariko 芯片 16nm)
内置存储空间,32 GB eMMC (支持 microSD 拓展),64 GB eMMC (支持 microSD 拓展),32 GB eMMC (支持 microSD 拓展)
底座 (Dock) 接口,"HDMI, USB-A x2, USB-A x1 (内部)","HDMI, USB-A x2, 新增 RJ45 有线网口",无底座 (底口仅充能，无视频输出功能)
视频输出能力,掌机: 720p @ 60HzTV模式: 最高 1080p @ 60Hz,掌机: 720p @ 60HzTV模式: 最高 1080p @ 60Hz,仅掌机: 720p @ 60Hz(芯片切断了视频输出通道)
手柄与震动,可拆卸 Joy-Con支持 HD 震动 + 红外摄像头,可拆卸 Joy-Con支持 HD 震动 + 红外摄像头,一体化手柄 (左侧变为传统十字键)无 HD 震动、无红外摄像头
支架设计,塑料小支架 (非常单薄，角度固定),转轴式超宽转角支架 (非常稳固，多角度),无支架
续航表现,约 4.5 - 9.0 小时(初代 V1 仅 2.5 - 6.5 小时),约 4.5 - 9.0 小时,约 3.0 - 7.0 小时
软件/游戏兼容性,100% 兼容 所有 Switch 游戏,100% 兼容 所有 Switch 游戏,部分受限 (体感/需要拆手柄的游戏，如《舞力全开》《超级马力欧派对》需额外外接 Joy-Con 才能玩)
