参数 / 特性,Core i7-4850HQ,Intel Xeon E-2274G,Intel Xeon W-2225,2× Intel Xeon E5-2670 v3
宿主设备,MacBook Pro笔记本,组装台式机 / 迷你服务器,Dell Precision T5820,HP ProLiant DL380 Gen9
发布年份 / 架构,2013(Crystal Well / 22nm),2019 (Coffee Lake / 14nm),2019 (Cascade Lake / 14nm),2014 (Haswell-EP / 22nm)
物理核心 / 线程,4核 / 8线程,4核 / 8线程,4核 / 8线程,24核 / 48线程 (单颗12核24线程)
基础频率,2.30 GHz,4.00 GHz,4.10 GHz,2.30 GHz
单核最大睿频,3.50 GHz,4.70 GHz,4.60 GHz (Turbo Boost Max 3.0 可达 4.70 GHz),3.10 GHz
L3 缓存,6 MB,8 MB,8.25 MB,60 MB (单颗 30 MB)
内存支持,DDR3L-1333/1600(双通道),DDR4-2666 (双通道),DDR4-2933 (四通道),DDR4-2133 (四通道 x2 = 八通道)
最大内存容量,32 GB (Non-ECC),128 GB (ECC/Non-ECC),1 TB (ECC Registered),1.5 TB (ECC Registered)
PCIe 通道,PCIe 3.0 x16,PCIe 3.0 x16,PCIe 3.0 x48,PCIe 3.0 x80 (单颗 x40)
核芯显卡,Intel Iris Pro Graphics 5200,Intel UHD Graphics P630,无,无 (依赖主板 Matrox G200)
热设计功耗 (TDP),47W,71W,105W,240W (单颗 120W)
PassMark(单核)分数(约),1942,2750,2850,1600
PassMark(多核)分数(约),6144,9800,11000,27000
