IP,主机名,说明
192.168.6.204,z-b-data-1,etcd+haproxy+keeplived
192.168.6.205,z-b-data-2,etcd+haproxy+keeplived
192.168.6.206,z-b-data-3,etcd+haproxy+keeplived
192.168.6.101,z-k8s-m-1,管控节点1
192.168.6.102,z-k8s-m-2,管控节点2
192.168.6.103,z-k8s-m-3,管控节点3
192.168.6.111,z-k8s-n-1,工作节点1(sr-iov)
192.168.6.112,z-k8s-n-2,工作节点2(sr-iov)
192.168.6.113,z-k8s-n-3,工作节点3(vgpu)
192.168.6.114,z-k8s-n-4,工作节点4(vgpu)
192.168.6.115,z-k8s-n-5,工作节点5
192.168.6.116,z-k8s-n-6,工作节点6
192.168.6.117,z-k8s-n-7,工作节点7
192.168.6.118,z-k8s-n-8,工作节点8
192.168.6.119,z-k8s-n-9,工作节点9
192.168.6.120,z-k8s-n-10,工作节点10
