$ cat kubelet.log | grep E0
Jan 18 07:43:50 dev-control-plane kubelet[193]: E0118 07:43:50.985166     193 certificate_manager.go:471] kubernetes.io/kube-apiserver-client-kubelet: Failed while requesting a signed certificate from the control plane: cannot create certificate signing request: Post "https://dev-external-load-balancer:6443/apis/certificates.k8s.io/v1/certificatesigningrequests": EOF
Jan 18 07:43:51 dev-control-plane kubelet[193]: E0118 07:43:51.002200     193 event.go:276] Unable to write event: '&v1.Event{TypeMeta:v1.TypeMeta{Kind:"", APIVersion:""}, ObjectMeta:v1.ObjectMeta{Name:"dev-control-plane.173b577162e64787", GenerateName:"", Namespace:"default", SelfLink:"", UID:"", ResourceVersion:"", Generation:0, CreationTimestamp:time.Date(1, time.January, 1, 0, 0, 0, 0, time.UTC), DeletionTimestamp:<nil>, DeletionGracePeriodSeconds:(*int64)(nil), Labels:map[string]string(nil), Annotations:map[string]string(nil), OwnerReferences:[]v1.OwnerReference(nil), Finalizers:[]string(nil), ManagedFields:[]v1.ManagedFieldsEntry(nil)}, InvolvedObject:v1.ObjectReference{Kind:"Node", Namespace:"", Name:"dev-control-plane", UID:"dev-control-plane", APIVersion:"", ResourceVersion:"", FieldPath:""}, Reason:"Starting", Message:"Starting kubelet.", Source:v1.EventSource{Component:"kubelet", Host:"dev-control-plane"}, FirstTimestamp:time.Date(2023, time.January, 18, 7, 43, 51, 450951, time.Local), LastTimestamp:time.Date(2023, time.January, 18, 7, 43, 51, 450951, time.Local), Count:1, Type:"Normal", EventTime:time.Date(1, time.January, 1, 0, 0, 0, 0, time.UTC), Series:(*v1.EventSeries)(nil), Action:"", Related:(*v1.ObjectReference)(nil), ReportingController:"", ReportingInstance:""}': 'Post "https://dev-external-load-balancer:6443/api/v1/namespaces/default/events": EOF'(may retry after sleeping)
Jan 18 07:43:51 dev-control-plane kubelet[193]: E0118 07:43:51.007537     193 kubelet.go:2373] "Container runtime network not ready" networkReady="NetworkReady=false reason:NetworkPluginNotReady message:Network plugin returns error: cni plugin not initialized"
Jan 18 07:43:51 dev-control-plane kubelet[193]: E0118 07:43:51.061065     193 kubelet.go:2034] "Skipping pod synchronization" err="[container runtime status check may not have completed yet, PLEG is not healthy: pleg has yet to be successful]"
Jan 18 07:43:51 dev-control-plane kubelet[193]: E0118 07:43:51.105070     193 kubelet.go:2448] "Error getting node" err="node \"dev-control-plane\" not found"
Jan 18 07:43:51 dev-control-plane kubelet[193]: E0118 07:43:51.109113     193 kubelet_node_status.go:92] "Unable to register node with API server" err="Post \"https://dev-external-load-balancer:6443/api/v1/nodes\": EOF" node="dev-control-plane"
Jan 18 07:43:51 dev-control-plane kubelet[193]: E0118 07:43:51.161180     193 kubelet.go:2034] "Skipping pod synchronization" err="container runtime status check may not have completed yet"
Jan 18 07:43:51 dev-control-plane kubelet[193]: E0118 07:43:51.206135     193 kubelet.go:2448] "Error getting node" err="node \"dev-control-plane\" not found"
Jan 18 07:43:51 dev-control-plane kubelet[193]: E0118 07:43:51.255991     193 kubelet.go:1397] "Failed to start ContainerManager" err="failed to initialize top level QOS containers: root container [kubelet kubepods] doesn't exist"
Jan 18 07:43:52 dev-control-plane kubelet[273]: E0118 07:43:52.663207     273 event.go:276] Unable to write event: '&v1.Event{TypeMeta:v1.TypeMeta{Kind:"", APIVersion:""}, ObjectMeta:v1.ObjectMeta{Name:"dev-control-plane.173b5771c5f29376", GenerateName:"", Namespace:"default", SelfLink:"", UID:"", ResourceVersion:"", Generation:0, CreationTimestamp:time.Date(1, time.January, 1, 0, 0, 0, 0, time.UTC), DeletionTimestamp:<nil>, DeletionGracePeriodSeconds:(*int64)(nil), Labels:map[string]string(nil), Annotations:map[string]string(nil), OwnerReferences:[]v1.OwnerReference(nil), Finalizers:[]string(nil), ManagedFields:[]v1.ManagedFieldsEntry(nil)}, InvolvedObject:v1.ObjectReference{Kind:"Node", Namespace:"", Name:"dev-control-plane", UID:"dev-control-plane", APIVersion:"", ResourceVersion:"", FieldPath:""}, Reason:"Starting", Message:"Starting kubelet.", Source:v1.EventSource{Component:"kubelet", Host:"dev-control-plane"}, FirstTimestamp:time.Date(2023, time.January, 18, 7, 43, 52, 662201206, time.Local), LastTimestamp:time.Date(2023, time.January, 18, 7, 43, 52, 662201206, time.Local), Count:1, Type:"Normal", EventTime:time.Date(1, time.January, 1, 0, 0, 0, 0, time.UTC), Series:(*v1.EventSeries)(nil), Action:"", Related:(*v1.ObjectReference)(nil), ReportingController:"", ReportingInstance:""}': 'Post "https://dev-external-load-balancer:6443/api/v1/namespaces/default/events": EOF'(may retry after sleeping)
Jan 18 07:43:52 dev-control-plane kubelet[273]: E0118 07:43:52.664394     273 kubelet.go:2373] "Container runtime network not ready" networkReady="NetworkReady=false reason:NetworkPluginNotReady message:Network plugin returns error: cni plugin not initialized"
Jan 18 07:43:52 dev-control-plane kubelet[273]: E0118 07:43:52.689512     273 kubelet.go:2034] "Skipping pod synchronization" err="[container runtime status check may not have completed yet, PLEG is not healthy: pleg has yet to be successful]"
Jan 18 07:43:52 dev-control-plane kubelet[273]: E0118 07:43:52.736821     273 cri_stats_provider.go:452] "Failed to get the info of the filesystem with mountpoint" err="failed to get device for dir \"/var/lib/containerd/io.containerd.snapshotter.v1.fuse-overlayfs\": stat failed on /var/lib/containerd/io.containerd.snapshotter.v1.fuse-overlayfs with error: no such file or directory" mountpoint="/var/lib/containerd/io.containerd.snapshotter.v1.fuse-overlayfs"
Jan 18 07:43:52 dev-control-plane kubelet[273]: E0118 07:43:52.764402     273 kubelet.go:2448] "Error getting node" err="node \"dev-control-plane\" not found"
Jan 18 07:43:52 dev-control-plane kubelet[273]: E0118 07:43:52.765647     273 kubelet_node_status.go:92] "Unable to register node with API server" err="Post \"https://dev-external-load-balancer:6443/api/v1/nodes\": EOF" node="dev-control-plane"
...
