Model,CPU frequency,Cores,L3 Cache,Power,QPI,DDR4 Hz
E5-2660v3,2.6 GHz,10,25MB,105 W,9.6 GT/s,2133
E5-2650v3,2.3 GHz,10,25MB,105 W,9.6 GT/s,2133
E5-2650Lv3,1.8 GHz,12,25MB,65 W,9.6 GT/s,2133
E5-2640v3,2.6 GHz,8,20MB,90 W,8.0 GT/s,1866
E5-2630v3,2.4 GHz,8,20MB,85 W,8.0 GT/s,1866
E5-2630Lv3,1.8 GHz,8,25MB,55 W,8.0 GT/s,1866
E5-2620v3,2.4 GHz,6,15MB,85W,8.0 GT/s,1866
E5-2609v3,1.9 GHz,6,15MB,85W,8.0 GT/s,1600
E5-2603v3,1.6 GHz,6,15MB,85W,6.4 GT/s,1600
E5-2695v4,2.1 GHz,18,45MB,120 W,9.6 GT/s,2400
E5-2683v4,2.1 GHz,16,40MB,120 W,9.6 GT/s,2400
E5-2680v4,2.4 GHz,14,35MB,120 W,9.6 GT/s,2400
E5-2660v4,2.0 GHz,14,35MB,105 W,9.6 GT/s,2400
E5-2650v4,2.2 GHz,12,30MB,105 W,9.6 GT/s,2400
E5-2650Lv4,1.7 GHz,14,35MB,65 W,9.6 GT/s,2400
E5-2640v4,2.4 GHz,10,25MB,90 W,8.0 GT/s,2133
E5-2630v4,2.2 GHz,10,25MB,85W,8.0 GT/s,2133
E5-2630Lv4,1.8 GHz,10,25MB,55W,8.0 GT/s,2133
E5-2623v4,2.6 GHz,4,10MB,85W,8.0 GT/s,2133
E5-2620v4,2.1 GHz,8,20MB,85W,8.0 GT/s,2133
E5-2609v4,1.7 GHz,8,20MB,85W,6.4 GT/s,1866
E5-2603v4,1.7 GHz,6,15MB,85W,6.4 GT/s,1866
