Firmware Name,Firmware Version,Location,官方firmware,软件包
HP Ethernet 1Gb 4-port 331i Adapter - NIC,17.0.2,Embedded, `HPE Broadcom NX1 Online Firmware Upgrade Utility for Linux x86_64 <https://support.hpe.com/connect/s/softwaredetails?language=en_US&softwareId=MTX_52781ffb5cd14c048ec4572ed0>`_ , `firmware-nic-broadcom-2.29.0-1.1.x86_64.rpm <https://downloads.hpe.com/pub/softlib2/software1/sc-linux-fw/p1058798827/v207995/firmware-nic-broadcom-2.29.0-1.1.x86_64.rpm>`_
iLO,2.78 Apr 28 2021,System Board, `Online ROM Flash Component for Linux - HPE Integrated Lights-Out 4 <https://support.hpe.com/hpesc/public/swd/detail?swItemId=MTX_d08e4968119e4737b8549928c2>`_ , ilo4_280.bin
Intelligent Platform Abstraction Data,27.01,System Board,,
Intelligent Provisioning,2.30.75,System Board,,
Power Management Controller Firmware,1.0.9,System Board, `Online ROM Flash for Linux - Advanced Power Capping Microcontroller Firmware for HPE Gen9 Servers <https://support.hpe.com/connect/s/softwaredetails?softwareId=MTX_565cdf8340f64bd59f0e0e1021>`_ , `hp-firmware-powerpic-1.0.9-11.1.i386.rpm <https://downloads.hpe.com/pub/softlib2/software1/sc-linux-fw/p284583079/v189558/RPMS/i386/hp-firmware-powerpic-1.0.9-11.1.i386.rpm>`_
Power Management Controller FW Bootloader,1,System Board,,
Redundant System ROM,P89 v1.51 (08/08/2015),System Board,备份,
Server Platform Services (SPS) Firmware,3.0.6.267.1,System Board,,
System Programmable Logic Device,Version 0x30,System Board,,
System ROM,P89 v2.90 (04/29/2021),System Board, `System ROM Flash Binary - HPE ProLiant DL380 Gen9/DL360 Gen9 (P89) <https://support.hpe.com/connect/s/softwaredetails?language=en_US&softwareId=MTX_6abac704c0e149548008362d7b>`_ , P89_2.96_05_17_2022.signed.flash
