Model,Model,Cores,L3 Cache,Power,QPI,DDR4 Hz
E5-2699v3,E5-2699v3,18,45MB,145 W,9.6 GT/s,2133
E5-2698v3,E5-2698v3,16,40MB,135 W,9.6 GT/s,2133
E5-2697v3,E5-2697v3,14,35MB,145 W,9.6 GT/s,2133
E5-2695v3,E5-2695v3,14,35MB,120 W,9.6 GT/s,2133
E5-2690v3,E5-2690v3,12,30MB,135 W,9.6 GT/s,2133
E5-2687Wv3,E5-2687Wv3,10,25MB,160 W,9.6 GT/s,2133
E5-2683v3,E5-2683v3,14,35MB,120 W,9.6 GT/s,2133
E5-2680v3,E5-2680v3,12,30MB,120 W,9.6 GT/s,2133
``E5-2670v3`` , ``E5-2670v3`` , ``12`` , ``30MB`` , ``120 W`` , ``9.6 GT/s`` , ``2133``
E5-2667v3,E5-2667v3,8,25MB,135 W,9.6 GT/s,2133
E5-2660v3,E5-2660v3,10,25MB,105 W,9.6 GT/s,2133
E5-2650v3,E5-2650v3,10,25MB,105 W,9.6 GT/s,2133
E5-2650Lv3,E5-2650Lv3,12,25MB,65 W,9.6 GT/s,2133
E5-2643v3,E5-2643v3,6,20MB,135 W,9.6 GT/s,2133
E5-2640v3,E5-2640v3,8,20MB,90 W,8.0 GT/s,1866
E5-2637v3,E5-2637v3,4,15MB,135 W,9.6 GT/s,2133
E5-2630v3,E5-2630v3,8,20MB,85 W,8.0 GT/s,1866
E5-2630Lv3,E5-2630Lv3,8,25MB,55 W,8.0 GT/s,1866
E5-2623v3,E5-2623v3,4,10MB,105 W,8.0 GT/s,1866
E5-2620v3,E5-2620v3,6,15MB,85 W,8.0 GT/s,1866
E5-2609v3,E5-2609v3,6,15MB,85 W,8.0 GT/s,1600
E5-2603v3,E5-2603v3,6,15MB,85 W,6.4 GT/s,1600
E5-2699v4,E5-2699v4,22,55MB,145 W,9.6 GT/s,2400
E5-2698v4,E5-2698v4,20,50MB,135 W,9.6 GT/s,2400
E5-2697v4,E5-2697v4,18,45MB,145 W,9.6 GT/s,2400
E5-2697Av4,E5-2697Av4,16,40MB,145 W,9.6 GT/s,2400
E5-2695v4,E5-2695v4,18,45MB,120 W,9.6 GT/s,2400
E5-2690v4,E5-2690v4,14,35MB,135 W,9.6 GT/s,2400
E5-2687Wv4,E5-2687Wv4,12,30MB,160 W,9.6 GT/s,2400
E5-2683v4,E5-2683v4,16,40MB,120 W,9.6 GT/s,2400
E5-2680v4,E5-2680v4,14,35MB,120 W,9.6 GT/s,2400
E5-2667v4,E5-2667v4,8,25MB,135 W,9.6 GT/s,2400
E5-2660v4,E5-2660v4,14,35MB,105 W,9.6 GT/s,2400
E5-2650v4,E5-2650v4,12,30MB,105 W,9.6 GT/s,2400
E5-2650Lv4,E5-2650Lv4,14,35MB,65 W,9.6 GT/s,2400
E5-2643v4,E5-2643v4,6,20MB,135 W,9.6 GT/s,2400
E5-2640v4,E5-2640v4,10,25MB,90 W,8.0 GT/s,2133
E5-2637v4,E5-2637v4,4,15MB,135 W,9.6 GT/s,2400
E5-2630v4,E5-2630v4,10,25MB,85 W,8.0 GT/s,2133
E5-2630Lv4,E5-2630Lv4,10,25MB,55 W,8.0 GT/s,2133
E5-2623v4,E5-2623v4,4,10MB,85 W,8.0 GT/s,2133
E5-2620v4,E5-2620v4,8,20MB,85 W,8.0 GT/s,2133
E5-2609v4,E5-2609v4,8,20MB,85 W,6.4 GT/s,1866
E5-2603v4,E5-2603v4,6,15MB,85 W,6.4 GT/s,1866
E5-2699Av4,E5-2699Av4,22,55MB,145 W,9.6 GT/s,2400
