容量,S3700 400GB,S3710 400GB,S3520 480GB
外形,"2.5"" 7mm","2.5"" 7mm","2.5"" 7mm"
接口,SATA 3.0 6Gb/S,SATA 3.0 6Gb/S,SATA 3.0 6Gb/S
发售日,2012年Q4,2015年Q1,2016年Q3
工艺,25nm,20nm,16nm 3D NAND
顺序读带宽,500MB/s,550MB/s,450MB/s
顺序写带宽,460MB/s,470MB/s,380MB/s
4K随机读,75000 IOPS,85500 IOPS,65500 IOPS
4K随机写,36000 IOPS,43000 IOPS,16000 IOPS
工作耗电,5.4W,5.4W,3.2W
待机耗电,650mW,0.6w,500mW
工作时可承受震动,2.17 GRMS (5-700 Hz),2.17 GRMS (5-700 Hz),2.17 GRMS (5-700 Hz)
待机时可承受震动,3.13 GRMS (5-800 Hz),3.13 GRMS (5-800 Hz),3.13 GRMS (5-800 Hz)
最高工作温度,70摄氏度,70摄氏度,70摄氏度
最低工作温度,0摄氏度,0摄氏度,0摄氏度
耐用度Endurance Rating (Lifetime Writes),每天10次全盘写寿命5年=7.3PB,8.3PB,945 TBW
平均无故障时间Mean Time Between Failures (MTBF),2 Mio. Hours(2百万小时),2 Mio. Hours(2百万小时),2 Mio. Hours(2百万小时)
不可恢复bit错误率Uncorrectable Bit Error Rate (UBER),1 sector per 10^17 bits read,1 sector per 10^17 bits read,1 sector per 10^17 bits read
质保,5年,5年,5年
