参数,含义,说明
Available Spare,可用备用,包含可用剩余备用容量的标准化百分比（0 到 100%）
Available Spare Threshold,可用的备用阈值,当可用备用容量低于此字段中指示的阈值时，可能会发生异步事件完成。该值表示为标准化百分比（0 到 100%）
Percentage Used,使用百分比,根据实际使用情况和制造商对 NVM 寿命的预测，包含供应商对所用 NVM 子系统寿命百分比的具体估计。（注意：如果使用存储的时间超过其计划寿命，该数字可能会超过 100%。）
Data Units Read/Data Units Written,数据单元读取/数据单元写入,这是读/写的 512 字节数据单元的数量，但它以一种不寻常的方式测量。第一个值对应于 512 字节单元中的 1000 个。因此，可以将此值乘以 512000 以获得以字节为单位的值。它不包括元数据访问。
Host Read/Write Commands,主机读/写命令,发出的适当类型的命令数。使用此值以及以下值，可以计算“物理”读取和写入的平均 IO 大小。
Controller Busy Time,控制器忙碌时间,控制器忙于服务命令的时间（以分钟为单位）。这可用于衡量长期存储负载趋势。
Unsafe Shutdowns,不安全的停机,在未发送关机通知的情况下发生断电的次数。根据使用的 NVMe 设备，不安全的关机可能会损坏用户数据。
Warning Temperature Time/Critical Temperature Time,警告温度时间/临界温度时间,设备在警告或临界温度以上运行的时间（以分钟为单位）。它应该是零。
Wear_Leveling,磨损级别,这显示了使用了多少额定电池寿命，以及不同电池的最小/最大/平均写入计数。在这种情况下，看起来单元的额定写入次数为 1800 次，平均使用了大约 1100 次
Timed Workload Media Wear,定时工作负载介质磨损,媒体因当前的“工作量”而磨损。除了显示设备生命周期值外，该设备还允许从重置它们时测量一些统计数据（称为“工作负载”）。
Timed Workload Host Reads,定时工作负载主机读取,已读取的 IO 操作的百分比（因为工作负载计时器已重置）。
Thermal Throttle Status,热油门状态,这显示设备是否因过热而受到限制，以及过去何时发生限制事件。
Nand Bytes Written,写入 Nand 字节,写入 NAND 单元的字节。对于此设备，测量单位似乎是 32MB 值。其他设备可能会有所不同。
Host Bytes Written,主机字节写入,从系统写入 NVMe 存储的字节数。这个单位也是 32MB 的值。这些值的大小不是很重要，因为它们最有助于找到工作负载的写入放大。该比率以对 NAND 的写入和对 HOST 的写入来衡量。对于此示例，写入放大因子 (WAF) 为 16185227 / 6405605 = 2.53
