Type,Solid State modules (SSM)
shape factor,M.2 2280
Interface,M.2/M-Key (PCIe 4.0 x4)
Read,7000MB/s
Write,5100MB/s SLC-Cached
IOPS 4K read/Write,1000k/850k
memory modules,3D-NAND TLC Samsung 128 Layer (V-NAND v6)
TBW,600TB
Reliability prediction,1.5 Mio. hours (MTBF)
controller,Samsung Elpis (S4LV003) 8 channels
cache,1GB (LPDDR4) SLC-Cache
Protocol,NVMe 1.3c
Data protection features,256bit AES TCG opal 2.0
Power consumption,not specified (maximum) not specified (operation) 0.035W (idle) 0.005W (Sleep mode)
Dimensions,80x22x2.38mm
Special features,L1.2 Low-Power-standby
Warranty,three years (for OEM)
Attention,OEM-Product. No Support and warranty for end customers!
