,Instinct MI50,Tesla T10,Tesla P10
发布日,2018/11/18,2020,2016/9/13
系列,Radeon Instinct,Tesla,Tesla
接口,PCIe 4.0 x16,PCIe 3.0 x16,PCIe 3.0 x16
GPU,Vega 20,TU102,GP102
架构,GCN 5.1,Turing,Pascal
工艺,7 nm,12 nm,16 nm
晶体管数,"13230 million","18600 million","11800 million"
GPU裸片面积,331 mm²,754 mm²,471 mm²
**时钟频率(Clock Speeds)** ,,
基准主频, ``1200 MHz`` ,1065 MHz,1025 MHz
Boost主频, ``1746 MHz`` ,1395 MHz,1493 MHz
内存主频,1000 MHz 2 Gbps effective,1575 MHz 12.6 Gbps, ``1808 MHz 14.5 Gbps``
**内存(Memory)** ,,,
内存大小,16/ ``32 GB`` ,16 GB,24 GB
内存类型, ``HBM2`` ,GDDR6,GDDR5X
内存总线, ``4096 bit`` ,256 bit,384 bit
内存带宽, ``1.02 TB/s`` ,403.2 GB/s,694.3 GB/s
**渲染配置(Render Config)** ,,,
着色单元(Shading Units), ``3840`` ,3072,3840
纹理映射单元(Texture Mapping Units/TMUs), ``240`` ,192,240
ROPs,64, ``96`` ,96
SM Count,,48,30
**Tensor Cores** ,, ``384`` ,
**光线追踪RT Cores** , 60 Compute Units(CU), ``48`` ,
L1 缓存(L1 Cache),16 KB (per CU),64 KB(per SM),48 KB(per SM)
L2 缓存(L2 Cache),6 MB,6 MB,3 MB
**主板设计** ,,
主板插槽,双插槽,单插槽,单插槽
长度,267 mm,267 mm,267 mm
宽度,,111 mm,97 mm
厚度,,20 mm,20mm
TDP,300 W,150 W,250 W
建议电源,700 W,450 W,600 W
显示输出,1x mini-DisplayPort 1.4a,无,无
电源连接,2x 8-pin,1x 8-pin,1x 8-pin
主板编号,,,PG610 SKU 210
**图形功能** ,,
DirectX,12 (12_1),12 (12_1),12 (12_1)
OpenGL,4.6,4.6,4.6
OpenCL,2.1,3.0,3.0
Vulkan,1.3,1.3,1.3
CUDA,,7.5,6.1
Shader Model,6.7,6.8,6.4
**理论性能** ,,
Pixel Rate, 111.7 GPixel/s , 89.28 GPixel/s , ``143.3 GPixel/s``
Texture Rate, ``419.0 GTexel/s`` , 312.5 GTexel/s ,358.3 GTexel/s
FP16 (half) performance, ``26.82 TFLOPS (2:1)`` , 20.00 TFLOPS (2:1) ,179.2 GFLOPS (1:64)
FP32 (float) performance, ``13.41 TFLOPS`` , 9.999 TFLOPS ,11.47 TFLOPS
FP64 (double) performance, ``6.705 TFLOPS (1:2)`` , 312.5 GFLOPS (1:32) ,358.3 GFLOPS (1:32)
