主机IP,主机名,cpu,内存(G),磁盘(G),说明
10.0.0.1,默认网关,,,, wifibox虚拟机
10.0.0.2,wifibox0,,,, 虚拟网卡wifibox0
10.0.0.7,ndev,,,, :ref:`freebsd_thin_jail` NullFs Thin Jail
10.0.0.8,udev,,,, :ref:`freebsd_linux_jail` Ubuntu Thin Jail
10.0.0.9,bsd,,,, :ref:`freebsd_thick_jail` 测试 Thick Jail
10.0.0.10,dev,,,, :ref:`freebsd_thin_jail` 开发 Thin Jail
10.0.0.11,dev-1,,,, :ref:`freebsd_thin_jail` 开发-1 Thin Jail
10.0.0.12,dev-2,,,, :ref:`freebsd_thin_jail` 开发-2 Thin Jail
10.0.0.21,vdev-1,,,, :ref:`freebsd_vnet_jail` VNET Thin Jail
10.0.0.22,vdev-2,,,, :ref:`freebsd_vnet_jail` VNET Thin Jail
10.0.0.253,dev,2,2,6,容器(日常开发)
10.0.0.253,dev,2,2,6,容器(日常开发)
10.0.0.211,xcloud-c1,4,1,64G, :ref:`freebsd_thin_jail` - k3s master
10.0.0.211,etcd,,,,etcd服务DNS RoundRobin
10.0.0.211,apiserver,,,,apiserver服务DNS RoundRobin
10.0.0.212,xcloud-c2,4,1,64G, :ref:`freebsd_thin_jail` - k3s master
10.0.0.212,etcd,,,,etcd服务DNS RoundRobin
10.0.0.212,apiserver,,,,apiserver服务DNS RoundRobin
10.0.0.213,xcloud-c3,4,1,64G, :ref:`freebsd_thin_jail` - k3s master
10.0.0.213,etcd,,,,etcd服务DNS RoundRobin
10.0.0.213,apiserver,,,,apiserver服务DNS RoundRobin
10.0.0.221,xcloud-w1,2,4,1T, :ref:`freebsd_thin_jail` - ceph ds/ceph mon/gluster
10.0.0.222,xcloud-w2,2,4,1T, :ref:`freebsd_thin_jail` - ceph ds/cephfs/gluster
10.0.0.223,xcloud-w3,2,4,1T, :ref:`freebsd_thin_jail` - ZFS NAS/AI/k3s monitor/k3s dashboard
10.0.0.224,xcloud-w4,2,4,1T, :ref:`freebsd_thin_jail`
10.0.0.225,xcloud-w5,2,4,1T, :ref:`freebsd_thin_jail`
10.0.0.226,xcloud-w6,2,4,1T, :ref:`freebsd_thin_jail`
