主机IP,主机名,cpu,内存(G),磁盘(G),说明
192.168.10.10,a-k3s-n-0,1,0.25,16 SD,树莓派1B
192.168.10.11,a-k3s-n-1,1,0.5,16 SD,树莓派1B
192.168.10.12,a-k3s-n-2,1,0.5,16 SD,树莓派1B
192.168.7.1,默认网关,,,,
192.168.7.2,x-zero,1,0.5,128 SD,树莓派zero-w
192.168.7.11,x-m-1,4,1,64 SD,树莓派 B3 - k3s master
192.168.7.11,etcd,,,,etcd服务DNS RoundRobin
192.168.7.11,apiserver,,,,apiserver服务DNS RoundRobin
192.168.7.12,x-m-2,4,1,64 SD,树莓派 B3 - k3s master
192.168.7.12,etcd,,,,etcd服务DNS RoundRobin
192.168.7.12,apiserver,,,,apiserver服务DNS RoundRobin
192.168.7.13,x-m-3,4,1,64 SD,树莓派 B3 - k3s master
192.168.7.13,etcd,,,,etcd服务DNS RoundRobin
192.168.7.13,apiserver,,,,apiserver服务DNS RoundRobin
192.168.7.21,x-n-1,4,8,1T,树莓派 B4 - ceph ds/monitor
192.168.7.22,x-n-2,4,8,1T,树莓派 B4 - ceph ds/dashboard
192.168.7.23,x-n-3,4,2,1T,树莓派 B4 - ceph ds
192.168.7.24,x-n-4,4,4,128 SD,Jetson Nano - GPU
192.168.7.253,x-dev,2,2,6,容器
192.168.7.254,raspberrypi,4,,128 SD,树莓派 B4 - rasbian系统(升级和修复)
