主机IP,主机名,cpu,内存(G),磁盘(G),说明
192.168.7.1,默认网关,,,,
192.168.7.2,x-zero,1,0.5,128 SD,树莓派zero-w
192.168.7.211,acloud-c1,4,1,64 SD,树莓派 B4 - k3s master
192.168.7.211,etcd,,,,etcd服务DNS RoundRobin
192.168.7.211,apiserver,,,,apiserver服务DNS RoundRobin
192.168.7.212,acloud-c2,4,1,64 SD,树莓派 B4 - k3s master
192.168.7.212,etcd,,,,etcd服务DNS RoundRobin
192.168.7.212,apiserver,,,,apiserver服务DNS RoundRobin
192.168.7.213,acloud-c3,4,1,64 SD,树莓派 B4 - k3s master
192.168.7.213,etcd,,,,etcd服务DNS RoundRobin
192.168.7.213,apiserver,,,,apiserver服务DNS RoundRobin
192.168.7.221,acloud-w1,4,8,2T,树莓派 B5 - ceph ds/ceph mon/gluster
192.168.7.222,acloud-w2,4,8,2T,树莓派 B5 - ceph ds/cephfs/gluster
192.168.7.223,acloud-w3,4,8,4T,树莓派 B5 - ZFS NAS/AI/k3s monitor/k3s dashboard
192.168.7.224,acloud-w4,4,4,128 SD,Jetson Nano - GPU
-,-,-,-,-,-
192.168.7.231,bcloud-c1,4,1,64 SD,树莓派 B3 - k0s master
192.168.7.231,etcd,,,,etcd服务DNS RoundRobin
192.168.7.231,apiserver,,,,apiserver服务DNS RoundRobin
192.168.7.232,bcloud-c2,4,1,64 SD,树莓派 B3 - k0s master
192.168.7.232,etcd,,,,etcd服务DNS RoundRobin
192.168.7.232,apiserver,,,,apiserver服务DNS RoundRobin
192.168.7.233,bcloud-c3,4,1,64 SD,树莓派 B3 - k0s master
192.168.7.233,etcd,,,,etcd服务DNS RoundRobin
192.168.7.233,apiserver,,,,apiserver服务DNS RoundRobin
192.168.7.241,bcloud-w1,4,8,2T,树莓派 B3 - k0s master
192.168.7.242,bcloud-w2,4,8,2T,树莓派 B3 - k0s master
192.168.7.243,bcloud-w3,4,8,4T,树莓派 B3 - k0s master
192.168.7.244,bcloud-w4,4,8,2T,树莓派 B4 - k0s worker
192.168.7.245,bcloud-w5,4,8,2T,树莓派 B4 - k0s worker
192.168.7.246,bcloud-w6,4,8,4T,树莓派 B4 - k0s worker
-,-,-,-,-,-
192.168.7.253,acloud-dev,2,2,6,容器(日常开发)
