主机IP,主机名,说明
192.168.7.101,zero,树莓派zero
192.168.7.200,xcloud,FreeBSD服务器
192.168.7.201,etcd-1,etcd
192.168.7.202,etcd-2,etcd
192.168.7.203,etcd-3,etcd
192.168.7.205,pg-1,pgsql
192.168.7.206,pg-2,pgsql
192.168.7.207,pg-3,pgsql
192.168.7.211,store-1,ceph/gluster
192.168.7.212,store-2,ceph/gluster
192.168.7.213,store-3,ceph/backup
192.168.7.219,mon,监控
192.168.7.220,xdev,包含GPU的开发环境
192.168.7.221,acloud-w1,树莓派5
192.168.7.222,acloud-w2,树莓派5
192.168.7.223,acloud-w3,树莓派5
192.168.7.241,bcloud-w1,树莓派3
192.168.7.242,bcloud-w2,树莓派3
192.168.7.243,bcloud-w3,树莓派3
192.168.7.244,bcloud-w4,树莓派4
192.168.7.245,bcloud-w5,树莓派4
192.168.7.246,bcloud-w6,树莓派4
192.168.7.250,idev,xcloud上bhyve虚拟机(使用intel UHD P630)
192.168.7.251,xdev,xcloud上bhyve虚拟机(使用nvidia telsa p10)
192.168.7.252,pg,pgsql开发环境
192.168.7.253,dev,xcloud上jail
